sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
11,Baroda BNP Paribas Mutual Fund,MF/018/94/2,,,,,,,,400051,Mumbai,Maharashtra,"201(A) 2nd Floor, A wing, Crescenzo, C-38 & 39, G Block,, Bandra-Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,"Nov 21, 1994 - Perpetual",mutual-funds
12,CANARA ROBECO MF,MF/004/93/4,,,,,,,,400001,Mumbai,Maharashtra,"Construction House, 4th Floor,
5, Walchand Hirachand Marg,
, Ballard Estate, MUMBAI, MAHARASHTRA, 400001",,"Oct 19, 1993 - Perpetual",mutual-funds
13,Capitalmind Mutual Fund,MF/084/25/10,,,,,,,,560102,Bangalore,Karnataka,"2323 Prakash Arcade 1st Floor, 17th Cross HSR Layout Sector 1, BANGALORE, KARNATAKA, 560102",,"Apr 11, 2025 - Perpetual",mutual-funds
14,Choice Mutual Fund,MF/087/25/13,,,,,,,,400099,Mumbai,Maharashtra,"Sunil Patodia Tower, MUMBAI, MAHARASHTRA, 400099",,"Aug 01, 2025 - Perpetual",mutual-funds
15,CRB MF,MF/008/93/5,,,,,,,,400020,Mumbai,Maharashtra,"Daruwala Mansion, 3rd Floor, , 90 Chandanwadi Cross Lane,, MUMBAI, MAHARASHTRA, 400020","Daruwala Mansion, 3rd Floor, , 90 Chandanwadi Cross Lane, MUMBAI, MAHARASHTRA, 400020","Dec 17, 1993 - Perpetual",mutual-funds
16,DSP MF,MF/036/97/7,,,,,,,,400028,Mumbai,Maharashtra,"The Ruby, 25th Floor, 29,, Senapati Bapat Marg, Dadar (West),, MUMBAI, MAHARASHTRA, 400028",,"Jan 30, 1997 - Perpetual",mutual-funds
17,EDELWEISS MF,MF/057/08/02,,,,,,,,400070,Mumbai,Maharashtra,"Tower 3, Wing B, Ground Floor, Kohinoor City Mall, , Kohinoor City, Kirol Road, Kurla(W), MUMBAI, MAHARASHTRA, 400070","Tower 3, Wing B, Ground Floor, Kohinoor City Mall, , Kohinoor City, Kirol Road, Kurla(W), MUMBAI, MAHARASHTRA, 400070","Apr 30, 2008 - Perpetual",mutual-funds
18,FRANKLIN TEMPLETON MF,MF/026/96/8,,,,,,,,400013,Mumbai,Maharashtra,"One international Centre, Tower 2, 12th and 13th Floor, Senapati Bapat Marg,, Elphinstone Road (West), MUMBAI - ., MUMBAI, MAHARASHTRA, 400013",,"Feb 19, 1996 - Perpetual",mutual-funds
19,Groww Mutual Fund,MF/068/11/03,,,,,,,,400013,Mumbai,Maharashtra,"1202A - 12A Floor, One World Centre, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,"Mar 24, 2011 - Perpetual",mutual-funds
20,HDFC MF,MF/044/00/6,,,,,,,,400020,Mumbai,Maharashtra,"HDFC HOUSE, 2ND FLOOR, H.T. PAREKH MARG, 165-166, , BACKBAY RECLAMATION, CHURCHGATE, MUMBAI, MAHARASHTRA, 400020","HDFC HOUSE, 2ND FLOOR, H.T. PAREKH MARG, 165-166, , BACKBAY RECLAMATION, CHURCHGATE, MUMBAI, MAHARASHTRA, 400020","Jun 30, 2000 - Perpetual",mutual-funds
21,Helios Mutual Fund,MF/079/23/05,,,,,,,,400051,Mumbai,Maharashtra,"502, 5th Floor, The Capital, Plot C70, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,"Aug 10, 2023 - Perpetual",mutual-funds
22,HSBC MF,MF/046/02/5,,,,,,,,400001,Mumbai,Maharashtra,"3rd Floor, Mercantile Bank Chamber, , 16 Veer Nariman Road, Fort, MUMBAI, MAHARASHTRA, 400001",,"May 27, 2002 - Perpetual",mutual-funds
23,ICICI PRUDENTIAL MF,MF/003/93/6,,,,,,,,110001,Delhi,National Capital Territory Of Delhi,"12th Floor, Narain Manzil 23,, Barakhamba Road, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,"Oct 13, 1993 - Perpetual",mutual-funds
24,IDBI MUTUAL FUND,MF/064/10/01,,,,,,,,400005,Mumbai,Maharashtra,"IDBI Tower, WTC Complex,, Cuffe Parade,, MUMBAI, MAHARASHTRA, 400005",,"Mar 29, 2010 - Perpetual",mutual-funds
25,IIFCL MF (IDF),MF/071/13/01,,,,,,,,110023,New Delhi,National Capital Territory Of Delhi,"5th Floor, Block-2, Plate-A, NBCC Towers, East Kidwai Nagar, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110023",,"Jan 24, 2013 - Perpetual",mutual-funds
26,IL&FS IDF MF,MF/072/13/02,,,,,,,,400051,Mumbai,Maharashtra,"IL&FS Infra Asset Management Limited, MUMBAI, MAHARASHTRA, 400051",,"Feb 01, 2013 - Perpetual",mutual-funds
27,Invesco Mutual Fund,MF/052/06/01,,,,,,,,400013,Mumbai,Maharashtra,"2101-A, 21st Floor, , Marathon Futurex, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,"Jul 24, 2006 - Perpetual",mutual-funds
28,ITI Mutual Fund,MF/073/18/01,,,,,,,,400012,Mumbai,Maharashtra,"ITI House, Building no. 36,, Dr. R. K. Shirodkar Marg, Parel,, MUMBAI, MAHARASHTRA, 400012",,"May 14, 2018 - Perpetual",mutual-funds
29,Jio BlackRock Mutual Fund,MF/085/25/11,,,,,,,,400018,Mumbai,Maharashtra,"Unit No. 1301, 13th Floor, Altimus Building,, Plot No. 130, Worli Estate, Pandurang Budhkar Marg, Worli, MUMBAI, MAHARASHTRA, 400018",,"May 26, 2025 - Perpetual",mutual-funds
30,JM FINANCIAL MF,MF/015/94/8,,,,,,,,400025,Mumbai,Maharashtra,"7th Floor, Cnergy, Appasaheb Marathe Marg, , Prabhadevi, Mumbai -, MUMBAI, MAHARASHTRA, 400025",,"Sep 15, 1994 - Perpetual",mutual-funds
31,Kotak Mutual Fund,MF/038/98/1,,,,,,,,400051,Mumbai,Maharashtra,"27 BKC, C-27, G Block,, Bandra Kurla Complex, Bandra (E), Mumbai, MUMBAI, MAHARASHTRA, 400051","27 BKC, C-27, G Block, Bandra Kurla Complex, Bandra (E), Mumbai, MUMBAI, MAHARASHTRA, 400051","Jun 23, 1998 - Perpetual",mutual-funds
32,LIC MF,MF/012/94/5,,,,,,,,400020,Mumbai,Maharashtra,"Industrial Assurance Building, 4th Floor, , Opposite Churchgate Station., MUMBAI, MAHARASHTRA, 400020",,"May 09, 1994 - Perpetual",mutual-funds
33,Mahindra Manulife Mutual Fund,MF/069/16/01,,,,,,,,400070,Mumbai,Maharashtra,"Unit No. 204, 2nd Floor,Amiti Building,C Wing, Piramal Agastya Corporate Park, LBS Road, Kamani Junction,Near Phoenix Marketcity Mall, Kurla (West), MUMBAI, MAHARASHTRA, 400070",,"Feb 03, 2016 - Perpetual",mutual-funds
34,MIRAE ASSET MF,MF/055/07/03,,,,,,,,400098,Mumbai,Maharashtra,"606,6TH FLOOR, WINDSOR BUILDING , , SANTACRUZ (E),, MUMBAI, MAHARASHTRA, 400098",,"Feb 20, 2008 - Perpetual",mutual-funds
35,Monarch Networth Capital Limited,MF/092/26/18,,,,,,,,400051,Mumbai,Maharashtra,"804, Naman Centre, 8th Floor, G Block,, Plot No. C-31 & C-32, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051",,"Apr 01, 2026 - Perpetual",mutual-funds
36,MOTILAL OSWAL MF,MF/063/09/04,,,,,,,,400025,Mumbai,Maharashtra,"10th Floor, Motilal Oswal Tower, Rahimtullah Sayani Road, , Opposite Parel ST Depot, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,"Dec 29, 2009 - Perpetual",mutual-funds
37,N J Mutual Fund,MF/076/21/02,,,,,,,,400051,Mumbai,Maharashtra,"Unit No. 101A, 1st Floor, Hallmark Business Plaza, Bandra (East), MUMBAI, MAHARASHTRA, 400051",,"Apr 30, 2021 - Perpetual",mutual-funds
38,NAVI MUTUAL FUND,MF/062/09/03,,,,,,,,560102,Bangalore,Karnataka,"Vaishnavi Tech Square, 7th Floor, Iballur Village,, Begur, Hobli, Bengaluru, Karnataka, BANGALORE, KARNATAKA, 560102",,"Dec 04, 2009 - Perpetual",mutual-funds
39,Nippon India Mutual Fund,MF/022/95/1,,,,,,,,400013,Mumbai,Maharashtra,"30th Floor, One Lodha Place, Senapati Bapat Marg,, Lower Parel, Mumbai - 400013., MUMBAI, MAHARASHTRA, 400013",,"Jun 30, 1995 - Perpetual",mutual-funds
40,Nuvama Mutual Fund,MF/093/26/19,,,,,,,,400051,Mumbai,Maharashtra,"801 804, Wing A, Building No. 3, Inspire BKC, G Block, Bandra Kurla Complex, Bandra East, Mumbai, MUMBAI, MAHARASHTRA, 400051",,"Jun 08, 2026 - Perpetual",mutual-funds
41,Old Bridge Mutual Fund,MF/081/23/07,,,,,,,,400051,Mumbai,Maharashtra,"C 1705 One BKC, G Block Bandra Kurla Complex, MUMBAI, MAHARASHTRA, 400051",,"Sep 01, 2023 - Perpetual",mutual-funds
42,PGIM INDIA MUTUAL FUND,MF/065/10/02,,,,,,,,400051,Mumbai,Maharashtra,"4th Floor, C Wing,  Laxmi Towers, Bandra Kurla Complex,, Bandra (East), MUMBAI, MAHARASHTRA, 400051",,"May 13, 2010 - Perpetual",mutual-funds
43,PPFAS MF,MF/069/12/01,,,,,,,,400001,Mumbai,Maharashtra,"81/82, 8th Floor, Sakhar Bhavan, Ramanth Goenka Marg, 230, , Nariman Point, Mumbai - 400 021, MUMBAI, MAHARASHTRA, 400001",,"Oct 11, 2012 - Perpetual",mutual-funds
44,Quant Mutual Fund,MF/028/96/4,,,,,,,,110001,Delhi,National Capital Territory Of Delhi,"Premises No. 2/90, Block-P,, Connaught Circus, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,"Jul 03, 1996 - Perpetual",mutual-funds
45,QUANTUM MF,MF/051/05/02,,,,,,,,400020,Mumbai,Maharashtra,"1st Floor, Apeejay House, 3 Dinshaw Vachha Road, Backbay Reclamation,, Churchgate,, MUMBAI, MAHARASHTRA, 400020",,"Dec 02, 2005 - Perpetual",mutual-funds
46,SAMCO MUTUAL FUND,MF/077/21/03,,,,,,,,400013,Mumbai,Maharashtra,"1003 A Wing 10th Floor Naman Midtown, Senapati Bapat Marg, MUMBAI, MAHARASHTRA, 400013",,"Jul 30, 2021 - Perpetual",mutual-funds
47,SBI MF,MF/009/93/3,,,,,,,,400051,Mumbai,Maharashtra,"9th Floor, Crescenzo, C - 38 & 39, G Block,  , Bandra Kurla Complex, Bandra (East), Mumbai -, MUMBAI, MAHARASHTRA, 400051",,"Dec 23, 1993 - Perpetual",mutual-funds
48,SHRIRAM MF,MF/017/94/4,,,,,,,,400051,Mumbai,Maharashtra,"Wockhardt Towers, 2nd Floor, East Wing, C-2, G Block,,  Bandra Kurla Complex, Bandra(East), MUMBAI, MAHARASHTRA, 400051",,"Nov 21, 1994 - Perpetual",mutual-funds
49,SUNDARAM MF,MF/034/97/2,,,,,,,,600002,Chennai,Tamil Nadu,"21, Patullos Road, CHENNAI, TAMIL NADU, 600002",,"Jan 03, 1997 - Perpetual",mutual-funds
50,Tata Mutual Fund,MF/023/95/9,,,,,,,,400051,Mumbai,Maharashtra,"1903, B Wing,, Parinee Crescenzo, G Block, BKC,, MUMBAI, MAHARASHTRA, 400051",,"Jun 30, 1995 - Perpetual",mutual-funds
51,TAURUS MF,MF/002/93/,,,,,,,,400099,Mumbai,Maharashtra,"Office No. 401, 402, 4th Floor,, Jaisingh Business Centre, Sahar Road, Andheri East, MUMBAI, MAHARASHTRA, 400099",,"Sep 21, 1993 - Perpetual",mutual-funds
52,The Wealth Company Mutual Fund,MF/086/25/12,,,,,,,,400072,Mumbai,Maharashtra,"Pantomath Nucleus House,Saki Vihar Road, Andheri East, Mumbai, MUMBAI, MAHARASHTRA, 400072",,"Jul 18, 2025 - Perpetual",mutual-funds
53,TRUST MUTUAL FUND,MF/075/19/01,,,,,,,,400051,Mumbai,Maharashtra,"101, 1st Floor, Naman Corporate Link Centre, G-Block,, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,"Oct 07, 2019 - Perpetual",mutual-funds
54,Unifi Mutual Fund,MF/082/24/08,,,,,,,,600006,Chennai,Tamil Nadu,"11, Kakani Towers, 3rd Floor,, 15, Khader Nawaz Khan Road,, CHENNAI, TAMIL NADU, 600006",,"Nov 13, 2024 - Perpetual",mutual-funds
55,Union Mutual Fund,MF/066/11/01,,,,,,,,400059,Mumbai,Maharashtra,"Unit 503, 5th Floor, Leela Business Park,, Andheri Kurla Road, Andheri (East), MUMBAI, MAHARASHTRA, 400059",,"Nov 08, 2016 - Perpetual",mutual-funds
56,UTI  MF,MF/048/03/01,,,,,,,,400051,Mumbai,Maharashtra,"UTI TOWER, GN BLOCK, BANDRA KURLA COMPLEX, , BANDRA (EAST), MUMBAI, MAHARASHTRA, 400051",,"Jan 14, 2003 - Perpetual",mutual-funds
57,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,MF/091/26/17,,,,,,,,380015,Ahmedabad,Gujarat,"F-31, 3rd Floor, Commerce House-4,, Sur No. 1319/1301/1, 100Ft Road, Anand Nagar Char Rasta, Anand Nagar, Jodhpur Char Rasta,, AHMEDABAD, GUJARAT, 380015",,"Mar 25, 2026 - Perpetual",mutual-funds
58,WhiteOak Capital Mutual Fund,MF/074/18/02,,,,,,,,400025,Mumbai,Maharashtra,"Unit No.B4, 6th Floor, Cnergy, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,"Jul 03, 2018 - Perpetual",mutual-funds
59,Zerodha Mutual Fund,MF/080/23/06,,,,,,,,560025,Bangalore,Karnataka,"Indiqube Penta, New No. 51 (Old No.14), Richmond Road, BANGALORE, KARNATAKA, 560025",,"Aug 11, 2023 - Perpetual",mutual-funds
